status,original_rtd_canonical_url,mintlify_canonical_url,mintlify_route,note
exact_structural_match,https://docs.t3planet.de/en/latest/EXTNsZohoCrm/Index.html,http://192.168.0.137:3000/EXTNsZohoCrm/Index,/EXTNsZohoCrm/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTNsZohoCrm/Installation/Index.html,http://192.168.0.137:3000/EXTNsZohoCrm/Installation/Index,/EXTNsZohoCrm/Installation/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTNsZohoCrm/Introduction/Index.html,http://192.168.0.137:3000/EXTNsZohoCrm/Introduction/Index,/EXTNsZohoCrm/Introduction/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTNsZohoCrm/Support.html,http://192.168.0.137:3000/EXTNsZohoCrm/Support,/EXTNsZohoCrm/Support,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTNsZohoCrm/UpdateVersion/Index.html,http://192.168.0.137:3000/EXTNsZohoCrm/UpdateVersion/Index,/EXTNsZohoCrm/UpdateVersion/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReactBootstrap/CustomElements/Index.html,http://192.168.0.137:3000/EXTReactBootstrap/CustomElements/Index,/EXTReactBootstrap/CustomElements/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReactBootstrap/Customization/Index.html,http://192.168.0.137:3000/EXTReactBootstrap/Customization/Index,/EXTReactBootstrap/Customization/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReactBootstrap/FAQ/Index.html,http://192.168.0.137:3000/EXTReactBootstrap/FAQ/Index,/EXTReactBootstrap/FAQ/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReactBootstrap/GlobalSettingsConfiguration/Index.html,http://192.168.0.137:3000/EXTReactBootstrap/GlobalSettingsConfiguration/Index,/EXTReactBootstrap/GlobalSettingsConfiguration/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReactBootstrap/HelpSupport/Index.html,http://192.168.0.137:3000/EXTReactBootstrap/HelpSupport/Index,/EXTReactBootstrap/HelpSupport/Index,"Same route structure, RTD prefix removed, .html removed"
